text,date,sentiment
The queue for what? It’s a joke! Contact form. Cash refund queue. Emails. Tweets. DM. And what’s up? No refund for me after weeks!! Booking OBHN7X,2020-04-27 11:33:55,0
Cash refund queue. Emails. Tweets. DM. And what’s up? No refund for me after weeks!! Booking OBHN7X,2020-04-27 11:29:55,2
"Hi , I applied for a refund one month ago and I received an email offering a voucher as reported the last week by lot of customers and . I do not want a voucher but a refund (which I already applied for !).",2020-04-27 11:26:51,1
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 11:23:10,2
": I'm writing my will tomorrow, to my unborn child. I'm leaving my refunds from and if they arrive in his/…",2020-04-27 11:21:36,2
": I'm writing my will tomorrow, to my unborn child. I'm leaving my refunds from and if they arrive in his/…",2020-04-27 11:21:12,2
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 11:18:45,1
has anyone else only been told they can reschedule their flight within the next months (and will need to pay the difference) and not even been given the option for a refund???,2020-04-27 11:18:41,2
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 11:12:13,0
"Filed a sec chargeback request today with credit card company will see what happens. It's a disgrace the way are behaving, I for one will never book with them again and would not be sorry to see them fold",2020-04-27 11:06:56,1
"Find Ryanair of Ireland Help &amp; Information - Here We List The Customer Service Phone Number, Company Contact Location &amp; Ryanair Email Address &amp; Social Media &amp; Flight Status.",2020-04-27 11:04:03,0
is anyone actually staffing on line help... I have been awaiting now three hours since I logged on and sent message,2020-04-27 10:59:45,1
: Michael O'Leary claims people dont understand the refund issue. I was very willing to wait months for my refund but then…,2020-04-27 10:57:58,2
Michael O'Leary claims people dont understand the refund issue. I was very willing to wait months for my refund but then you sent me a voucher with no easy way to re-request my refund. Now I'm not happy. I put it to you that you dont understand your customers,2020-04-27 10:52:16,1
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 10:52:05,1
: To anyone hoping to get a refund from .. this is the bullsh*t response I got. I paid for a service that you failed to…,2020-04-27 10:50:57,2
": I'm writing my will tomorrow, to my unborn child. I'm leaving my refunds from and if they arrive in his/…",2020-04-27 10:49:59,1
": Just so people are aware if you are hoping to get a cash refund from Ryanair, contact them via Facebook messenger, they h…",2020-04-27 10:37:30,1
Maybe can help elain its members position?? Cc,2020-04-27 10:36:09,2
your customer care is pathetic. Your bots don’t work! You are trying to force your customers to a accept a travel voucher instead of a cash refund from a cancellation. By law a refund should be paid out within days. passengercomplaints.co.uk,2020-04-27 10:23:08,0
So I’ve been waiting now for hours yesterday and so far today to get through to the “alleged” agents behind your chat bots.... how much longer am I supposed to wait?,2020-04-27 10:22:40,1
: Message to regarding refunds.,2020-04-27 10:18:39,0
"Just so people are aware if you are hoping to get a cash refund from Ryanair, contact them via Facebook messenger, they have an automatic service that will add you the the refund queue (again) must quicker than email or calling them,",2020-04-27 10:15:41,1
Cash refund queue?? And what’s up? No refund for me after weeks!! Booking OBHN7X,2020-04-27 10:14:19,1
I will continue to resend my DM to you everyday until I get a response that it is in the queue to be processed. I have sent them as requested from other people's tweets you have replied to. Just acknowledge and reply.,2020-04-27 10:11:56,2
"*I agree; sometime ( ) will have to get involved. Why are they doing this? Because (261/2004 - Art says) ""Passengers shall be offered a choice between.."" - Cleverly, offer choice*",2020-04-27 10:02:00,1
- crossing the line between hard nosed and immoral as usual. Making it impossible to get a refund on our flights to Italy despite the flight being cancelled.,2020-04-27 10:01:47,1
is enough if I send an Email for the to the address in the image or have I to send a letter? I have already sent a complaint about the transaction to the bank since I did not receive the service and I am entitled to a refund.,2020-04-27 09:52:19,0
": seeking . Oh, the irony. O'Leary Considers Taking The EU To Court Over Bailouts …",2020-04-27 09:52:08,1
": cancelled my flights (fine) invited me to apply for a refund, a month later emailed me a voucher saying I could hav…",2020-04-27 09:50:42,2
: Message to regarding refunds.,2020-04-27 09:43:27,0
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:40:48,2
": seeking . Oh, the irony. O'Leary Considers Taking The EU To Court Over Bailouts …",2020-04-27 09:39:41,0
"Same story...requested refund, got voucher, can’t get through to anyone...SORT IT OUT!!!",2020-04-27 09:39:18,2
: Message to regarding refunds.,2020-04-27 09:31:29,1
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:31:24,2
": seeking . Oh, the irony. O'Leary Considers Taking The EU To Court Over Bailouts …",2020-04-27 09:24:05,1
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:23:27,2
: Message to regarding refunds.,2020-04-27 09:23:18,1
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:17:18,2
: Message to regarding refunds.,2020-04-27 09:15:48,2
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 09:10:46,0
When is a 'refund' not a refund. When it's of course! My promised refund has now turned into the 'recommendation' of a 'refund voucher'. I don't want this. I don't want to fly with . I simply want my money back. It's not difficult.,2020-04-27 09:00:44,2
"If flights for up to and including the th May have not been cancelled, when do you eect to make a decision?? /2",2020-04-27 08:53:25,2
"Could you confirm if you have cancelled flights up to and including th May, please? have said on their app and website it has been cancelled but when I DM’d them they said it hasn’t been cancelled. This is ! /2",2020-04-27 08:53:25,2
can you come back to my DM and mails? I've sent you all the details but reply. On the chatbox for hours &amp; also nothing. Why can you be on Twitter telling ppl to DM you when you can't reply the actual DM's? This is becoming more of a,2020-04-27 08:51:49,2
: Message to regarding refunds.,2020-04-27 08:42:02,2
: Message to regarding refunds.,2020-04-27 08:37:18,2
: Hello Ryanair it’s me again! Day in quarantine trying to get through Ryanair customer support.. will I succeed... …,2020-04-27 08:36:26,2
"Whenever I call I am being told that the agents are busy and to call back later, not even the option to stay on the line?! Making it so difficult to get a refund",2020-04-27 08:11:05,0
Went to web page asked for money got to ‘chat’ to a robot that didn’t bring any joy. So applied for a voucher which they say they would email. That was over a week ago and I’ve still not had it!! Furious with then,2020-04-27 07:47:54,1
"boss tells the Irish Independent - the airline could resume % of flights in July, eects face masks &amp; temperature checks to become a fixture of air travel, and says refunds could take up to three months to process.",2020-04-27 07:45:12,0
I applied for cash refund didn’t get it so applied for voucher still haven’t got that either! Was supposed to fly th April . On the phone again to them per minute and still no one to speak too!!,2020-04-27 07:45:04,2
Meloneras Gran Canaria (Before lockdown),2020-04-27 07:34:26,2
: Message to regarding refunds.,2020-04-27 07:29:17,0
"Could you please tell me when will I get my refund ? I have applied for my money back for over a month ! Other people got an email that they will get a voucher instead. I have sent you a DM, tried to call but to no avail.",2020-04-27 07:24:39,1
"Hello, can you help me to get in contact with someone for my refund request? I don't want to use the voucher option as weeks ago my request for a refund was supposed to be confirmed",2020-04-27 07:22:14,0
"looking for assistance please, I’ve been on hold to chatbot waiting to chat with an agent since am &amp; just got booted out, is there another way to inform you that I cannot accept the vouchers you’ve offered &amp; want to proceed with my refund claim?",2020-04-27 07:19:06,1
: Publicly slating Virgin Atlantic (among others) for not being fit to operate whilst using his own customers money (illeg…,2020-04-27 06:55:45,0
: I'm taking bets on how long you think I'll be on hold to for as they have taken away the ability…,2020-04-27 06:55:32,1
: Message to regarding refunds.,2020-04-27 06:55:06,0
: Message to regarding refunds.,2020-04-27 06:44:58,1
"Another example of not refunding. It cancelled my flights, so I requested a cash refund a month ago. It said times it was processing this. It emailed me a travel voucher, which I don’t want, I want a refund. Ryanair preventing me from getting this refund.",2020-04-27 06:29:54,2
"I requested a cash refund a month ago, times you said you were processing this. Last week you emailed me a travel voucher. I don’t want the voucher, I want the refund I have requested. When will you pay the refund you have already promised me?",2020-04-27 06:09:41,0
: Message to regarding refunds.,2020-04-27 05:22:08,0
: Message to regarding refunds.,2020-04-27 05:21:14,2
: any one else been fucked by Ryanair,2020-04-27 05:18:13,0
: Message to regarding refunds.,2020-04-27 05:18:01,0
: Message to regarding refunds.,2020-04-27 05:08:58,2
: . Drop a pic of your first plane ride in honor of the employees that have lost tho…,2020-04-27 01:04:00,1
Hello . Tweet . DM. Waited for your twatbot. Want a refund not a voucher. Add me to the waiting list and acknowledge me please.,2020-04-27 00:41:59,0
